スタック領域,関数呼び出しや局所変数を管理するメモリ領域。LIFO構造で扱われる。
ヒープ領域,動的に確保・解放されるメモリ領域。プログラム実行時に必要に応じて使用。
スラッシング,メモリ不足で頻繁にページの入れ替えが起き、処理効率が著しく低下する現象。
スワップアウト,メモリからディスクへ一時的にデータを退避させること。
エンディアン,データのバイト順序。ビッグエンディアンとリトルエンディアンがある。
プリエンプティブ,OSが実行中のプロセスを強制的に割り込み、CPUを別のプロセスに割り当てる方式。
ノンプリエンプティブ,プロセスが自発的にCPUを手放すまで実行し続けるスケジューリング方式。
スーパスカラ,同時に複数の命令を並列処理できるCPU設計。
スーパーパイプライン,深いパイプラインを使い高いクロック周波数で処理効率を上げたCPU構造。
ページング,メモリを一定サイズのページに分割し、仮想メモリ管理を行う方式。
デマンドページング,必要なページを実際にアクセスするまでメモリに読み込まない方式。
プリページング,予め関連ページをまとめてメモリに読み込む方式。
ページフォルト,必要なページがメモリに無い場合に発生する例外。
スワッピング,プロセス全体を一時的にメモリ⇔ディスク間で移動させること。
FIFO,最初に入ったものを最初に出すキューの管理方式。
LRU,最近使われていないページを優先的に置き換えるページ置換アルゴリズム。
LIFO,最後に入ったものを最初に出すキューの管理方式。
オーバレイ,プログラムの部分的なメモリ配置技術。必要な部分だけメモリに読み込む。
DisplayPort,高解像度映像と音声を伝送するデジタル映像インターフェース規格。
VNF,ネットワーク機能をソフトウェアで実装した仮想ネットワーク機能。
ウォッチドッグタイマ,システム異常時にリセットをかけるための監視タイマー。
サーバコンソリデーション,複数のサーバを統合し、リソース利用効率を高める手法。
マスカブル割込み,マスク（無効化）できる割込みのこと。
セマフォ,複数のプロセス間で共有資源を制御するための同期機構。
プライベートアドレス,内部ネットワークで使われるインターネット非公開のIPアドレス範囲。
フラグメンテーション,メモリやディスクの空き領域が断片化して利用効率が下がる現象。
インデックス方式,データベースなどで検索を高速化するために、索引を作成する方式。
ハッシュ法,キーをハッシュ関数で変換し高速にデータを検索・格納する方法。
ガベージコレクション,不要になったメモリ領域を自動的に回収する仕組み。
